A	một
Biosphere	sinh quyển
Biostatistics	thống kê sinh vật học
Biosynthesis	số nhiều biosyntheses
Biota	khu sinh vật, vùng sinh vật
Biotechnical	xem biotechnology
Biotechnological	xem biotechnology
Biotechnology	công nghệ sinh học
Biparental	thuộc hai cha mẹ
Bipart	hai tầng
Bipartisan	(thuộc) hai đảng
Bipartisanism	xem bipartisan
Bipartisanship	xem bipartisan
Bipartite	(thực vật học) chia đôi (lá)
Bipartitely	xem bipartite
Bipartition	sự chia đôi, sự phân đôi
Biped	có hai chân (động vật)
Biphase	(tech) hai vị tướng
Biplane	máy bay hai tầng cánh
Bipod	giá hai chân
Bipolar	(điện học) hai cực, lưỡng cực
Bipolarity	xem bipolar
Biquadratic	(toán học) trùng phương
Biquaternion	song qua - tenion
Biquinary	(tech) cơ hai và năm
Biracial	đại điện hoặc gồm hai chủng tộc
Biramous	chẻ đôi
Birational	song hữu tỷ
Birch	giống cây cáng lò, giống cây bulô
Birchbark	(từ mỹ) ca nô làm bằng vỏ cây bulô
Bird	chim
Bird of paradise	chim seo cờ
Bird of passage	người sống rày đây mai đó
Bird of prey	chim săn mồi
Bird sanctuary	khu bảo tồn chim
Birdbrained	ngu xuẩn, ngốc nghếch
Birdie	chim non
Birding	xem bird
Birdman	người nuôi chim
Birdseed	hạt dùng cho chim ăn
Birdsong	tiếng hót của chim
Birdwoman	nữ phi công
Birectangular	có hai góc vuông
Birefringent discriminator	(tech) bộ phân biệt song chiết
Biregular	song chính quy
Biretta	mũ màu đen của các giáo sự thiên chúa giáo
Biro	bút bi
Birse	lông cứng hoặc một chùm lông cứng
Birth	Sinh
Birth rate	(econ) tỷ suất sinh
Birthday	sinh nhật
Birthplace	nơi sinh
Birthright	quyền lợi dòng nòi
Birthstone	viên đá quý gắn một cách tượng trưng với tháng sinh
Birthwort	cây dây leo
Bis	(econ) ngân hàng thanh toán quốc tế
Biscuit	bánh quy
Bise	gió bắc hoặc đông bắc hanh khô
Bisecant	song cát tuyến
Bisect	chia đôi, cắt đôi
Bisection	sự chia đôi, sự cắt đôi
Bisector	đường phân đôi
Biserial	hai chuỗi
Bisexual	(sinh vật học) lưỡng tính
Bisexuality	sự lưỡng tính, tính cách lưỡng tính
Bish	(từ lóng) lỗi
Bishop	giám mục
Bishopric	địa phận của giám mục
Bisk	xúp thịt chim
Bismutite	(khoáng chất) bitmutit
Bison	bò rừng bizon
Bisontine	thuộc bò rừng bizon
Bisque	sứ không tráng men
Bissextile	năm nhuận
Bistable	(tech) trạng thái song ổn, ổn kép
Bistable device	(tech) bộ song ổn thái
Bistort	(thực vật học) cây quyền sâm
Bistoury	(y học) dao mổ
Bistre	màu nâu sẫm
Bistro	quán rượu nhỏ
Bisulfate	(hoá học) sunfat-axit
Bisymmetric	song đối xứng
Bit manipulation	(tech) thao tác bit
Bit part	vai thứ yếu, vai phụ
Bitable	xem bite
Bitangent	lưỡng tiếp (tiếp xúc tại hai điểm)
Bitch	con chó sói cái, con chồn cái
Bitchiness	ý xấu, ác ý
Bitchy	có ác ý
Bite	cắn
Biteable	xem bite
Biter	người cắn, vật cắn
Bitewing	phim chụp tia x chân răng cả hàm trên hàm dưới
Bitiminize	rải nhựa đường, quét bitum
Biting	làm cho đau đớn, làm buốt, làm nhức nhối
Bitingly	xem biting
Bitmap	hình chấm, bản đồ tổng hợp bit
Bitmap display	biểu thị bằng hình chấm/bitmap
Bitmap font	dạng chữ chấm (vuông)
Bitnet	tên mạng toàn cục liên kết các trường cao đẳng và đại học ở mỹ, canada, châu âu
Bitsy	nhỏ xíu
Bitt	cọc trên sàn tàu để đỡ dây cáp
Bitter	đắng
Bitterish	hơi đắng
Bitterling	một loại cá nước ngọt
Bittern	(động vật học) con vạc
Bitterness	vị đắng
Bittersweet	một cái gì vừa ngọt vừa đắng
Bittock	tí chút, mẫu nhỏ
Bitts	(hàng hải) cọc buộc dây cáp
Bitumen	nhựa rải đường bitum
Bituminize	rải nhựa đường, quét bitum
Bituminous	có nhựa rải đường, có bitum
Bitwise	(tech) phân theo bit
Biunique	một đối một
Bivalent	(hoá học) có hoá trị hai
Bivalve	(sinh vật học) hai mảnh vỏ
Biyearly	hai năm một lần
Biz	(thông tục) (như) business
Bizonal	tình trạng một vùng có hai chính quyền cùng hoạt động
Blabbermouth	người ăn nói ba hoa
Blabby	xem blab
Black	đen
Blackfellow	thổ dân úc
Blackfish	cá đen
Blackfly	số nhiều blackflies
Blackguard	người đê tiện
Blackguardly	đê tiện
Blackhead	mụn trứng cá
Blackheart	bệnh làm khoai tây đen ruột
Blacking	xi đen (đánh giày)
Blacking brush	bàn chải đánh giày
Blackish	hơi đen, đen đen
Blackjack	dùi cui của cảnh sát
Blackleg	kẻ phản bội ở lại làm cho chủ
Blacklist	danh sách đen, sổ bìa đen
Blacklister	xem blacklist
Blackly	xem black
Blackmail	sự hâm doạ để tống tiền
Blackmailer	người hâm doạ để làm tiền
Blackness	màu đen
Blackout	(tech) mất liên lạc
Blacksmith	thợ rèn
Blacksmithing	xem blacksmith
Blacksnake	(từ mỹ) roi da (dài)
Blackthorn	(thực vật học) cây mận gai
Blacktop	nhựa rải mặt đường
Blackwood	cây keo cao ở úc
Blacky	người da đen
Bladder	bong bóng
Bladdery	như bong bóng, như bọng
Blade	lưỡi
Bladed	xem blade
Blaeberry	cây việt quất
Blah	lời nói huênh hoang, ba hoa
Blain	mụn mủ, mụn rộp
Blamable	đáng khiển trách, đáng trách mắng
Blamableness	xem blamable
Blamably	xem blamable
Blame	khiển trách
Blameful	khiển trách, trách mắng
Blamefully	xem blameful
Blamefulness	xem blameful
Blameless	không thể khiển trách được
Blamelessly	không thể chê được
Blamelessness	xem blameless
Blamer	xem blame
Blameworthiness	xem blameworthy
Blameworthy	đáng khiển trách, đáng trách mắng
Blanch	làm trắng, làm bạc đi
Blancher	xem blanch
Bland	có cử chỉ dịu dàng, lễ phép
Blandish	xu nịnh, bợ đỡ, tán tỉnh, lấy lòng
Blandisher	xem blandish
Blandishment	sự xu nịnh
Blandly	dịu dàng, ôn tồn
Blandness	sự dịu dàng lễ phép
Blank	chỗ trống
Blanket	cái mền
Blankness	xem blank
Blanquette	món ragu hoặc thịt bê hầm
Blare	tiếng kèn
Blarney	lời dỗ ngọt, lời tán tỉnh đường mật
Blaspheme	báng bổ
Blasphemer	người ăn nói báng bổ
Blasphemous	báng bổ
Blasphemously	báng bổ, hồ đồ
Blasphemousness	xem blasphemous
Blasphemy	lời báng bổ
Blast	vụ nổ
Blasted	đáng nguyền rủa, đáng cho trời đánh thánh vật
Blastema	mầm gốc, nha bào
Blaster	xem blast
Blasting	sự làm nổ tung, sự phá bằng thuốc nổ
Blastocoel	cũng blastocoele
Blastoderm	bì phôi
Blastomere	phôi bào
Blastomycete	họ nấm chồi
Blastomycosis	bệnh nấm chồi
Blastoporal	cách viết khác : blastoporic
Blastopore	(sinh học) lỗ phôi, miệng phôi
Blastosphere	(sinh học) phôi cầu
Blastospheric	thuộc phôi cầu
Blastula	số nhiều blastulas,  blastulae
Blastular	thuộc phôi nang
Blastulation	sự hình thành phôi túi
Blatancy	tính hay la lối
Blatant	hay kêu la, hay la lối, hay làm om xòm
Blatantly	rành rành, hiển nhiên
Blate	nhút nhát
Blather	sự nói bậy bạ
Blatherer	xem blather
Blaze	ngọn lửa
Blazer	cháy rực
Blazing	nóng rực
Blazingly	xem blaze
Blazon	huy hiệu (in trên mộc)
Blazoner	xem blazon
Blazonment	sự vẽ huy hiệu
Blazonry	nghệ thuật làm huy hiệu
Bleach	tẩy trắng, chuội (vải)
Bleacher	thợ chuội (vải)
Bleaching powder	vôi clorua
Bleak	trống trải
Bleakly	thất vọng, chán chường
Bleakness	xem bleak
Blear	mờ
Blearily	lờ đờ, mệt mỏi
Bleariness	xem bleary
Bleary	mờ mắt
Bleat	tiếng be be (của cừu, bê, dê)
Bleater	xem bleat
Bled	mụn nước, mụn phỏng (ở da)
Bleed	chảy máu, mất máu
Bleeder	người trích máu
Bleeding	sự chảy máu
Bleep	tiếng bíp bíp
Bleeper	thiết bị phát ra tiếng bíp bíp
Blellum	một người lười biếng chỉ nói mồm
Blemish	tật
Blemisher	xem blemish
Blench	lùi bước, chùn bước
Blencher	xem blench
Blend	trộn
Blende	(khoáng chất) blenđơ
Blenny	cá lon mây
Blepharitis	bệnh viêm mí mắt
Blepharoplast	(sinh học) thể gốc lông
Blesbok	loại linh dương ở nam phi
Bless	ban phước
Blessed	thần thánh
Blessedness	phúc lành
Blessing	phước lành
Blest	giáng phúc, ban phúc
Blet	chỗ ủng, chỗ thối
Blether	sự nói bậy bạ
Blewits	số nhiều blewits
Blight	bệnh tàn rụi (cây cối)
Blighter	kẻ phá hoại
Blimp	khí cầu nhỏ
Blimpery	thái độ ngoan cố, phản đông
Blimpish	ngoan cố phản động
Blimpishness	tính ngoan cố phản động
Blin	số nhiều blini,  blinis
Blind	mù quáng
Blinders	miếng (da, vải) che mắt (ngựa)
Blindfish	loại cá mắt nhỏ không nhìn thấy được
Blindfold	bị bịt mắt
Blindfolded	xem blindfold
Blinding	đá dăm
Blindingly	xem blind
Blindly	mù, mù quáng
Blindness	sự đui mù
Blingual	biết nói hai thứ tiếng
Blink	chớp mắt
Block	khối
Blond	tóc vàng
Blood	máu
Bloody	dính máu
Blow	thổi
Blue	màu xanh da trời
Board	bảng
Boast	khoe khoan
Boat	thuyền
Body	thân hình
Boil	sôi lên
Bold	Dũng cảm
Bolt	chớp
Bomb	quả bom
Bombing	ném bom
Bond	liên kết
Bone	khúc xương
Bonus	thưởng
Book	sách
Boom	sự bùng nổ
Boost	tăng
Boot	khởi động
Booth	gian hàng
Border	biên giới
Boring	nhàm chán
Born	sinh ra
Borrow	vay
Boss	trùm
Both	cả hai
Bother	làm phiền
Bottle	chai
Bottom	đáy
Bounce	tung lên
Boundary	ranh giới
Bow	cây cung
Bowl	bát
Box	cái hộp
Boy	con trai
Boyfriend	bạn trai
Brain	óc
Brake	phanh
Branch	chi nhánh
Brand	nhãn hiệu
Brave	can đảm
Bread	bánh mỳ
Break	phá vỡ
Breakfast	bữa ăn sáng
Breast	nhũ hoa
Breath	hơi thở
Breathe	thở
Breathing	thở
Breeze	khoe khoang
Brick	gạch
Bride	cô dâu
Bridge	cầu
Brief	ngắn gọn
Briefly	ngắn gọn
Bright	sáng
Brilliant	rực rỡ
Bring	mang đến
British	người Anh
Broad	rộng lớn
Broadcast	phát sóng
Broken	bị hỏng
Broker	người môi giới
Bronze	đồng
Brother	em trai
Brown	nâu
Brush	chải
Brutal	tàn bạo
Bubble	bong bóng
Buck	buck
Bucket	cái xô
Buddy	Bạn bè
Budget	ngân sách
Bug	lỗi
Build	xây dựng
Builder	người xây dựng
Building	Tòa nhà
Bulb	bóng đèn
Bulk	số lượng lớn
Bull	con bò
Bullet	đạn
Bunch	bó
Burden	gánh nặng
Bureau	phòng làm việc
Burn	đốt cháy
Burning	đốt
Burst	nổ
Bury	chôn
Bus	xe buýt
Bush	cây bụi
Business	kinh doanh
Businessman	doanh nhân
Busy	bận
But	nhưng
Butt	mông
Butter	bơ
Butterfly	Con bướm
Button	nút
Buy	mua
Buyer	người mua
By	bởi
Cab	taxi
Cabin	khoang cabin
Cabinet	buồng
Cable	cáp
Cage	cái lồng
Cake	bánh ngọt
Calculate	tính toán
Calculation	phép tính
Calendar	lịch
Call	gọi
Calm	điềm tĩnh
Camera	Máy ảnh
Camp	trại
Campaign	chiến dịch
Campus	khuôn viên
Can	có thể
Canadian	người Canada
Cancel	hủy bỏ
Cancer	ung thư
Candidate	ứng viên
Candle	nến
Candy	Cục kẹo
Canvas	Tranh sơn dầu
Cap	mũ lưỡi trai
Capability	khả năng
Capable	có khả năng
Capacity	sức chứa
Capital	thủ đô
Captain	đội trưởng
Capture	nắm bắt
Car	xe hơi
Carbohydrate	carbohydrate
Carbon	carbon
Card	Thẻ
Care	quan tâm
Career	nghề nghiệp
Careful	cẩn thận
Carefully	cẩn thận
Cargo	hàng hóa
Carpet	thảm
Carrier	vận chuyển
Carrot	cà rốt
Carry	mang
Cart	xe đẩy
Cartoon	hoạt hình
Carve	khắc chạm
Case	trường hợp
Cash	tiền mặt
Casino	sòng bạc
Cast	dàn diễn viên
Casual	giản dị
Casualty	tai nạn
Cat	con mèo
Catalog	mục lục
Catch	bắt lấy
Category	thể loại
Catholic	Công giáo
Cattle	gia súc
Cause	nguyên nhân
Cave	hang
Cease	ngưng
Ceiling	trần nhà
Celebrate	ăn mừng
Celebration	lễ kỷ niệm
Celebrity	người nổi tiếng
Cell	tế bào
Cemetery	Nghĩa trang
Center	Trung tâm
Central	Trung tâm
Century	thế kỷ
Ceo	CEO
Ceremony	Lễ
Certain	chắc chắn
Certainly	chắc chắn
Chain	chuỗi
Chair	cái ghế
Chairman	chủ tịch
Challenge	thử thách
Chamber	buồng
Champion	quán quân
Championship	chức vô địch
Chance	cơ hội
Change	thay đổi
Changing	thay đổi
Channel	kênh
Chaos	hỗn loạn
Chapter	chương
Character	tính cách
Characteristic	đặc trưng
Characterize	đặc trưng
Charge	sạc điện
Charity	từ thiện
Charm	quyến rũ
Chart	đồ thị
Charter	điều lệ
Chase	đuổi theo
Cheap	giá rẻ
Cheat	lừa đảo
Check	kiểm tra
Cheek	má
Cheer	vui lên
Cheese	phô mai
Chef	đầu bếp
Chemical	hóa chất
Chemistry	hóa học
Chest	ngực
Chew	nhai
Chicken	gà
Chief	giám đốc
Child	đứa trẻ
Childhood	thời thơ ấu
Chill	làm lạnh
Chin	cái cằm
Chinese	Trung Quốc
Chip	Chip
Chocolate	sô cô la
Choice	lựa chọn
Choose	chọn
Chop	chặt
Christianity	Cơ đốc giáo
Christmas	Giáng Sinh
Chronic	mãn tính
Chunk	mảnh
Church	nhà thờ
Cigarette	thuốc lá
Circle	vòng tròn
Circuit	mạch
Circumstance	tình huống
Cite	trích dẫn
Citizen	công dân
Citizenship	quyền công dân
City	thành phố
Civic	công dân
Civil	dân sự
Civilian	dân thường
Civilization	nền văn minh
Claim	yêu cầu
Class	lớp học
Classic	cổ điển
Classical	cổ điển
Classify	phân loại
Classroom	phòng học
Clay	đất sét
Clean	dọn dẹp
Clear	trong sáng
Clearly	thông suốt
Clerk	nhân viên bán hàng
Click	nhấp chuột
Client	khách hàng
Cliff	vách đá
Climate	khí hậu
Climb	leo
Cling	bám lấy
Clinic	phòng khám bệnh
Clinical	lâm sàng
Clip	kẹp
Clock	đồng hồ
Close	gần
Closed	đóng
Closely	chặt chẽ
Closer	gần hơn
Closest	gần nhất
Closet	tủ quần áo
Cloth	vải
Clothes	quần áo
Clothing	quần áo
Cloud	đám mây
Club	câu lạc bộ
Clue	manh mối
Cluster	cụm
Coach	huấn luyện viên
Coal	than
Coalition	liên minh
Coast	bờ biển
Coastal	duyên hải
Coat	áo khoác
Cocaine	cocaine
Code	mã
Coffee	cà phê
Cognitive	nhận thức
Coin	đồng tiền
Cold	lạnh
Collaboration	hợp tác
Collapse	sự sụp đổ
Collar	cổ áo
Colleague	đồng nghiệp
Collect	sưu tầm
Collection	bộ sưu tập
Collective	tập thể
Collector	người thu gom
College	trường đại học
Colonial	thuộc địa
Colony	thuộc địa
Color	màu
Colorful	Đầy màu sắc
Column	cột
Columnist	nhà bình luận viên
Combat	chống lại
Combination	sự phối hợp
Combine	phối hợp
Combined	kết hợp
Come	đến
Comedy	phim hài
Comfort	thoải mái
Comfortable	Thoải mái
Coming	đang đến
Command	chỉ huy
Commander	chỉ huy
Comment	bình luận
Commercial	thương mại
Commission	Uỷ ban
Commissioner	ủy viên
Commit	cam kết
Commitment	cam kết
Committee	ủy ban
Commodity	hàng hóa
Common	chung
Commonly	thông thường
Communicate	giao tiếp
